Operation #,Agency Number,Operation/Caregiver Name,Address,City,State,Zip,County,Phone,Type,Status,Issue Date,Capacity,Email Address,Facility ID,Monitoring Frequency,Infant,Toddler,Preschool,School
"1271176","","A Bright Beginning CCH","926 MORNINGSIDE RD ","BROWNSVILLE","TX","78521","CAMERON",956-545-1805,"Licensed Child-Care Home","Full Permit",2/9/2012,12,"","812545","","Y","Y","Y","Y"
"1663807","","A Bright Beginning Learning Center","1278 HILLCREST DR ","NEW BRAUNFELS","TX","78130","COMAL",830-609-9151,"Licensed Center - Child Care Program","Full Permit",3/7/2018,59,"abrightbeginningnb@yahoo.com","1292039","","Y","Y","Y","Y"
"1536167","","A Bright Beginning Private School","407 E POLK ST ","RICHARDSON","TX","75081","DALLAS",972-235-8213,"Licensed Center - Child Care Program","Full Permit",4/14/2014,73,"","1139896","","Y","Y","Y","Y"
"919069","","A Brighter Day Child Care Center","638 BONHAM ST ","COLUMBUS","TX","78934","COLORADO",979-732-3201,"Licensed Center - Child Care Program","Full Permit",10/30/2008,68,"","382601","","Y","Y","Y","Y"
"1618217","","A Brighter Day Learning Academy","925 W PLANTATION DR ","CLUTE","TX","77531","BRAZORIA",979-388-9586,"Licensed Center - Child Care Program","Full Permit",3/2/2017,153,"abrighterdayla2015@gmail.com","1235482","","Y","Y","Y","Y"
"1046506","","A Brighter Day Quality Learning Center","8030 FM 1765 STE A101","TEXAS CITY","TX","77591","GALVESTON",409-943-5530,"Licensed Center - Child Care Program","Full Permit",12/16/2009,180,"abbrighter@gmail.com","537208","","Y","Y","Y","Y"
"1573316","","A Child's Discovery","832 S HIGHWAY 83 ","UVALDE","TX","78801","UVALDE",830-279-1443,"Licensed Child-Care Home","Full Permit",12/31/2015,12,"","1186939","","Y","Y","Y","Y"
"1717440","","A Child's Exploratorium","1381 BUNTON CREEK RD ","KYLE","TX","78640","HAYS",512-504-3119,"Licensed Center - Child Care Program","Full Permit",2/12/2021,51,"acelearning2021@gmail.com","1370806","","Y","Y","Y","Y"
"1381486","","A Child's Haven","600 W PARK ST ","CEDAR PARK","TX","78613","WILLIAMSON",512-335-9540,"Licensed Center - Child Care Program","Full Permit",6/20/2012,57,"director@childshaven.net","948128","","Y","Y","Y","Y"
"877171","","A Child's Place Learning Center  Inc","551 MEADOWVIEW LN ","KERRVILLE","TX","78028","KERR",830-792-3770,"Licensed Center - Child Care Program","Full Permit",8/13/2007,118,"julie@achildsplacelc.com","321663","","Y","Y","Y","Y"
"1624533","","A Child's Reflection","875 S FRY RD ","KATY","TX","77450","HARRIS",281-492-1229,"Licensed Center - Child Care Program","Full Permit",11/30/2016,179,"achildsreflection@gmail.com","1242567","","Y","Y","Y","Y"
"1005566","","A Child's View","31925 NICHOLS SAWMILL RD ","MAGNOLIA","TX","77355","MONTGOMERY",281-252-4000,"Licensed Center - Child Care Program","Full Permit",3/25/2010,194,"achildsview31925@yahoo.com","490048","","Y","Y","Y","Y"
"1645858","","A Child's World Child Care","5538 DAPPLEWOOD LN ","KATY","TX","77449","HARRIS",281-848-8419,"Licensed Child-Care Home","Full Permit",8/21/2017,12,"","1268523","","Y","Y","Y","Y"
"1700402","","A Children's Place Learning Center","2825 NALL ST STE 5","PORT NECHES","TX","77651","JEFFERSON",409-853-4389,"Licensed Center - Child Care Program","Full Permit",8/6/2020,170,"achildrensplacellc@gmail.com","1344098","","Y","Y","Y","Y"
"191488","","A Childs Day","943 EVANS ST ","UVALDE","TX","78801","UVALDE",830-278-8530,"Licensed Center - Child Care Program","Full Permit",8/14/1986,147,"sharonstuder@mac.com","99748","","Y","Y","Y","Y"
"1707320","","A Childs Garden Daycare and Learning Center LLC","12935 E US HIGHWAY 82 ","WHITESBORO","TX","76273","COOKE",940-580-2740,"Licensed Center - Child Care Program","Full Permit",1/25/2021,51,"tamialford@verizon.net","1354703","","Y","Y","Y","Y"
"173685","","A Childs Place","708 ATCHISON ST ","SEALY","TX","77474","AUSTIN",979-885-2618,"Licensed Center - Child Care Program","Full Permit",10/7/1985,51,"","98614","","Y","Y","Y","Y"
"906894","","A Childs Pointe Day Care","17711 DECEMBER PINE LN ","SPRING","TX","77379","HARRIS",832-717-6368,"Licensed Child-Care Home","Full Permit",3/24/2009,12,"donna24.7@att.net","368151","","Y","Y","Y","Y"
"558211","","A Christian Academy","2830 E ILLINOIS AVE ","DALLAS","TX","75216","DALLAS",214-371-9948,"Licensed Center - Child Care Program","Full Permit",1/2/2002,41,"daralewis59@yahoo.com","172568","","Y","Y","Y","Y"
"847939","","A Creative Focus Learning Center","720 MEADOWCREEK LN ","GARLAND","TX","75043","DALLAS",972-270-5556,"Licensed Center - Child Care Program","Full Permit",9/29/2005,101,"acreativefocus720@att.net","269564","","Y","Y","Y","Y"
"1525464","","A Creative Genius Learning Academy","15710 CHIMNEY ROCK RD ","MISSOURI CITY","TX","77489","FORT BEND",281-437-2273,"Licensed Center - Child Care Program","Full Permit",3/19/2014,120,"","1124854","","Y","Y","Y","Y"
"1699280","","A Creative Learning Ctr","311 FM 306 BLDG 2","NEW BRAUNFELS","TX","78130","COMAL",830-626-8440,"Licensed Center - Child Care Program","Full Permit",1/17/2020,200,"creative.learning@hotmail.com","1342547","","Y","Y","Y","Y"
"1654280","","A Creative Preschool","13921 ROLLING HILLS LN ","DALLAS","TX","75240","DALLAS",469-426-4679,"Licensed Child-Care Home","Full Permit",7/3/2017,12,"brigetta_barone@yahoo.com","1279329","","N","Y","Y","Y"
"1560678","","A Garden For Children Child Dev. Center","840 NORTH BLVD ","UNIVERSAL CITY","TX","78148","BEXAR",210-659-1414,"Licensed Center - Child Care Program","Full Permit",5/27/2016,80,"","1173062","","Y","Y","Y","Y"
"817511","","A Guardian Angel Child Care Ctr","6342 AIRPORT RD STE B","EL PASO","TX","79925","EL PASO",915-772-8283,"Licensed Center - Child Care Program","Full Permit",8/1/2003,129,"Vicbrio18@gmail.com","206443","","Y","Y","Y","Y"
"877885","","A Habitat for Learning","3242 BELTWAY S # FM707","ABILENE","TX","79606","TAYLOR",325-692-2481,"Licensed Center - Child Care Program","Full Permit",1/16/2008,163,"ahfl3242@aol.com","322741","","Y","Y","Y","Y"
"1502353","","A Heart for the Children","3109 ALAMOCITOS CREEK DR ","KILLEEN","TX","76549","BELL",254-628-7896,"Licensed Child-Care Home","Full Permit",12/31/2012,12,"","1096720","","Y","Y","Y","Y"
"1648406","","A Heart to Give Early Childhood Center","106 BARROWS PL ","DESOTO","TX","75115","DALLAS",972-920-5008,"Licensed Center - Child Care Program","Full Permit",2/26/2018,105,"","1271918","","Y","Y","Y","Y"
"1617237","","A is for Apple Childcare","3502 BALL ST ","GALVESTON","TX","77550","GALVESTON",409-795-8280,"Licensed Center - Child Care Program","Full Permit",6/13/2016,24,"Aisforapple12345@gmail.com","1234211","","N","Y","Y","Y"
"1548085","","A La Chateau Center INC.","6955 ALMEDA RD ","HOUSTON","TX","77021","HARRIS",713-520-0165,"Licensed Center - Child Care Program","Full Permit",2/27/2015,93,"alachateaucenter@gmail.com","1156303","","Y","Y","Y","Y"
"1494926","","A Life Time of Learning Child Care  Center","630 FM 517 RD W ","DICKINSON","TX","77539","GALVESTON",281-678-8193,"Licensed Center - Child Care Program","Full Permit",11/14/2012,188,"","1087468","","Y","Y","Y","Y"
"1684198","","A Lighthouse for Kids LLC","920 W FM 1417 ","SHERMAN","TX","75092","GRAYSON",903-328-0032,"Licensed Center - Child Care Program","Full Permit",9/11/2019,166,"director@alighthouseforkids.com","1321044","","Y","Y","Y","Y"
"862118","","A Merry Go Round Daycare/Preschool","921 S 12TH ST ","NEDERLAND","TX","77627","JEFFERSON",409-727-1727,"Licensed Center - Child Care Program","Full Permit",12/13/2006,69,"Jesswalk0909@yahoo.com","298221","","Y","Y","Y","N"
"1715239","","A Mother's Touch Childcare, LLC","2700 ZOELLER DR ","PLANO","TX","75025","COLLIN",972-786-5677,"Licensed Child-Care Home","Full Permit",6/7/2021,12,"","1367368","","Y","Y","Y","Y"
"1570169","","A Mother's Touch Early Childhood Development Center Inc.","6100 W POLY WEBB RD ","ARLINGTON","TX","76016","TARRANT",817-561-2505,"Licensed Center - Child Care Program","Full Permit",12/22/2015,58,"","1183826","","Y","Y","Y","Y"
"1087007","","A Mothers Blessing","3389 WEDGEWOOD DR ","EL PASO","TX","79925","EL PASO",915-590-4606,"Licensed Center - Child Care Program","Full Permit",2/9/2010,65,"","585790","","N","Y","Y","Y"
"1678234","","A Mothers Love Childcare","820 N HIGHWAY 377 ","ROANOKE","TX","76262","DENTON",817-567-3550,"Licensed Center - Child Care Program","Full Permit",12/17/2018,51,"","1312057","","N","Y","Y","Y"
"1705603","","A Mothers Touch In Home Childcare","8728 SUMTER WAY ","FORT WORTH","TX","76244","TARRANT",817-706-8372,"Licensed Child-Care Home","Full Permit",10/1/2020,12,"","1352127","","Y","Y","Y","Y"
"1665824","","A New Beginning Childcare","3431 CHEANEY DR ","HOUSTON","TX","77066","HARRIS",832-446-3777,"Licensed Child-Care Home","Full Permit",12/15/2017,12,"anewbeginningchildcare@yahoo.com","1294849","","Y","Y","Y","Y"
"1011086","","A New Day Child Development CTR","5014 BEE CREEK RD STE A","SPICEWOOD","TX","78669","TRAVIS",512-264-7373,"Licensed Center - Child Care Program","Full Permit",5/26/2010,51,"irma@anewdaycdc.com","496188","","Y","Y","Y","Y"
"1672422","","A New Day Learning Academy","510 E AVENUE J ","TEMPLE","TX","76504","BELL",254-727-4031,"Licensed Center - Child Care Program","Full Permit",10/24/2018,336,"bkettles@anewdayla.org","1304056","","Y","Y","Y","Y"
"815880","","A New World Christian L C #1","1912 19TH ST ","LUBBOCK","TX","79401","LUBBOCK",806-765-7404,"Licensed Center - Child Care Program","Full Permit",4/1/2002,64,"newworldclc@yahoo.com","203360","","Y","Y","Y","Y"
"815875","","A New World Christian L C #2","2601 SLIDE RD ","LUBBOCK","TX","79407","LUBBOCK",806-780-5064,"Licensed Center - Child Care Program","Full Permit",4/1/2002,103,"","203357","","Y","Y","Y","Y"
"867319","","A Penny Saved Preschool Where Learning Makes Cents","6636 DEWSBURY ST ","NORTH RICHLAND HILLS","TX","76182","TARRANT",817-676-1815,"Licensed Child-Care Home","Full Permit",8/3/2007,12,"","307697","","N","Y","Y","Y"
"516878","","A Place  For Kids Luth CH Of RE","6011 GRISSOM RD ","SAN ANTONIO","TX","78238","BEXAR",210-680-5474,"Licensed Center - Child Care Program","Full Permit",2/2/1996,54,"apk@att.net","142198","","Y","Y","Y","Y"
"1668970","","A Place for Children Inc","12319 BELLAIRE BLVD STE 700","HOUSTON","TX","77072","HARRIS",281-598-4040,"Licensed Center - Child Care Program","Full Permit",8/13/2018,103,"","1299284","","Y","Y","Y","Y"
"1721824","","A Place For Children Richmond LLC","6355 S.  PEEK RD STE. 90","RICHMOND","TX","77407","FORT BEND",832-321-3323,"Licensed Center - Child Care Program","Initial",5/21/2021,68,"","1378463","","Y","Y","Y","Y"
"1570220","","A Place Like Home","421 PETER ST ","ALICE","TX","78332","JIM WELLS",361-396-4584,"Licensed Child-Care Home","Full Permit",11/19/2015,12,"","1183896","","Y","Y","Y","Y"
"1417906","10751","A Place to Grow","12001 TIERRA ESTE DR ","EL PASO","TX","79938","EL PASO",915-855-6227,"Licensed Center - Child Care Program","Full Permit",2/26/2013,192,"","989768","","Y","Y","Y","Y"
"413853","","A Place To Grow","5134 BAILEY RD ","PEARLAND","TX","77584","BRAZORIA",281-489-7419,"Licensed Center - Child Care Program","Full Permit",7/9/1992,284,"placetogrow@aol.com","124815","","Y","Y","Y","Y"
"1527094","","A Place to Grow","4609 61ST ST ","LUBBOCK","TX","79414","LUBBOCK",806-799-7692,"Licensed Child-Care Home","Full Permit",6/27/2014,12,"trbloodworth@sbcglobal.net","1127070","","Y","Y","Y","Y"
"1630091","10751","A Place to Grow  IV","14251 EDGEMERE ","EL PASO","TX","79938","EL PASO",915-849-8890,"Licensed Center - Child Care Program","Full Permit",1/13/2017,223,"","1250302","","Y","Y","Y","Y"
"1520671","10751","A Place to Grow II","12300-A PELLICANO ","EL PASO","TX","79936","EL PASO",915-858-1125,"Licensed Center - Child Care Program","Full Permit",1/30/2014,196,"aplacetogrowep@gmail.com","1118132","","Y","Y","Y","Y"
"1523159","10751","A Place To Grow III","4841 SALEM DR ","EL PASO","TX","79924","EL PASO",915-822-2200,"Licensed Center - Child Care Program","Full Permit",3/14/2014,191,"aplacetogrowep@gmail.com","1121752","","Y","Y","Y","Y"
"1443266","","A Place to Grow Learning Center","800 E ADAMS ST ","BROWNSVILLE","TX","78520","CAMERON",956-574-0975,"Licensed Center - Child Care Program","Full Permit",11/15/2012,54,"","1021768","","Y","Y","Y","Y"
"1626041","","A Plus Academy","5112A ANTOINE DR ","HOUSTON","TX","77092","HARRIS",832-589-5063,"Licensed Center - Child Care Program","Full Permit",8/25/2017,34,"aplusacademy1@hotmail.com","1244646","","N","Y","Y","Y"
"1412135","","A Positive Place Child Care, LLC","20815 HICKORY FARM DR ","KATY","TX","77449","HARRIS",346-946-7010,"Licensed Child-Care Home","Full Permit",8/7/2012,12,"","983825","","Y","Y","Y","Y"
"861006","","A Precious 1 Child Care","921 N MIDLAND DR ","MIDLAND","TX","79703","MIDLAND",432-694-2255,"Licensed Center - Child Care Program","Full Permit",11/21/2006,44,"apreciouscare@gmail.com","296177","","Y","Y","Y","Y"
"1670813","","A Precious Time Childcare","5804 SHETLAND CIR ","FRISCO","TX","75034","COLLIN",214-618-4992,"Licensed Child-Care Home","Full Permit",11/13/2018,12,"precioustimechildcare@yahoo.com","1301790","","Y","Y","Y","Y"
"1509056","","A Rocking Chair","14018 ALICE RD ","TOMBALL","TX","77377","HARRIS",281-516-3741,"Licensed Child-Care Home","Full Permit",2/7/2013,12,"arockingchair@hotmail.com","1104511","","Y","Y","Y","Y"
"842116","","A Special Place","9002 UNION ST ","NEEDVILLE","TX","77461","FORT BEND",979-793-3030,"Licensed Center - Child Care Program","Full Permit",1/28/2005,150,"aspecialplacetx@hotmail.com","256940","","Y","Y","Y","Y"
"1546662","","A Step Above","3010 BROTHERS BLVD ","COLLEGE STATION","TX","77845","BRAZOS",979-704-6022,"Licensed Child-Care Home","Full Permit",1/28/2015,12,"","1154760","","Y","Y","Y","Y"
"1395446","","A Step Above Preparatory Academy Inc.","5203 FM 521 RD ","ARCOLA","TX","77583","FORT BEND",281-431-5353,"Licensed Center - Child Care Program","Full Permit",1/17/2012,95,"","964228","","Y","Y","Y","Y"
"527303","","A Step Ahead","1050 N WESTMORELAND RD STE 308","DALLAS","TX","75211","DALLAS",214-467-4601,"Licensed Center - Child Care Program","Full Permit",3/13/1997,79,"asalc.dfw@gmail.com","150039","","Y","Y","Y","Y"
"831578","","A Time & A Season Christian Dayschool","835 N MARSALIS AVE ","DALLAS","TX","75203","DALLAS",214-941-7770,"Licensed Center - Child Care Program","Full Permit",2/25/2004,49,"ataascenter@ymail.com","233555","","Y","Y","Y","Y"
"1351766","","A Time to Love Learning Center","401 E RANDOL MILL RD ","ARLINGTON","TX","76011","TARRANT",817-303-4440,"Licensed Center - Child Care Program","Full Permit",1/31/2012,46,"kmobley97@gmail.com","913548","","Y","Y","Y","Y"
"1654562","","A to Z Preschool/Daycare Center","7303 BELLERIVE DR ","HOUSTON","TX","77036","HARRIS",713-974-0012,"Licensed Center - Child Care Program","Full Permit",12/12/2017,50,"","1279650","","Y","Y","Y","Y"
"504402","","A Washington Child Development Center","103 HAYS ST ","SAN MARCOS","TX","78666","HAYS",512-353-1507,"Licensed Center - Child Care Program","Full Permit",5/1/1994,70,"imedrano@communityaction.com","133352","","Y","Y","Y","N"
"1010012","","A Wee Li'l Tots Daycare","5005 GOODWIN DR ","PLANO","TX","75023","COLLIN",972-345-7373,"Licensed Child-Care Home","Full Permit",12/11/2009,12,"Aweeliltotsdaycare@yahoo.com","495017","","N","Y","Y","Y"
"1714745","","A Wonderful World of You Preschool","1114 MARTIN LUTHER KING ST ","DENISON","TX","75020","GRAYSON",903-462-0184,"Licensed Center - Child Care Program","Full Permit",4/16/2021,26,"awonderfulworldofyou@gmail.com","1366628","","N","Y","Y","Y"
"1670358","","A World of Adventures Academy","600 SPRINGMART BLVD STE 5","BROWNSVILLE","TX","78526","CAMERON",956-554-9897,"Licensed Center - Child Care Program","Full Permit",9/21/2018,78,"","1301238","","Y","Y","Y","Y"
"189689","","A Young Adventure Child Care","5111 POWERLINE RD ","RICHMOND","TX","77469","FORT BEND",281-342-4109,"Licensed Center - Child Care Program","Full Permit",7/23/1986,245,"","99624","","Y","Y","Y","Y"
"192770","","A&M United Methodist Weekday School","417 UNIVERSITY DR ","COLLEGE STATION","TX","77840","BRAZOS",979-846-1762,"Licensed Center - Child Care Program","Full Permit",4/6/1987,110,"wds@am-umc.org","99830","","Y","Y","Y","Y"
"1533309","","A+ ACCREDITED LEARNING CENTER","5023 IVANHOE ST ","SAN ANTONIO","TX","78228","BEXAR",210-888-1111,"Licensed Child-Care Home","Full Permit",8/21/2014,12,"ygonzales050@outlook.com","1135676","","Y","Y","Y","Y"
"1648965","","A+ Appletree Academy","619 E 9TH ST ","MISSION","TX","78572","HIDALGO",956-580-8998,"Licensed Center - Child Care Program","Full Permit",9/15/2017,73,"","1272657","","Y","Y","Y","Y"
"1595496","","A+ Highpointe Academy","3211 W CAMP WISDOM RD ","DALLAS","TX","75237","DALLAS",214-331-7202,"Licensed Center - Child Care Program","Full Permit",10/23/2015,113,"","1211279","","Y","Y","Y","Y"
"1540527","","A+ Kids Playschool","17257 TOBERMORY DR ","PFLUGERVILLE","TX","78660","TRAVIS",512-989-5977,"Licensed Child-Care Home","Full Permit",6/20/2014,12,"","1146358","","Y","Y","Y","Y"
"856401","","A+ Kidz Care Learning Center  LLC","3404 JOHN STOCKBAUER DR ","VICTORIA","TX","77901","VICTORIA",361-485-9922,"Licensed Center - Child Care Program","Full Permit",9/6/2006,153,"apluskidz@att.net","287488","","Y","Y","Y","Y"
"1557810","","A+ Kidz Care Learning Center 2, LLC","1105 N JOHN STOCKBAUER ","VICTORIA","TX","77901","VICTORIA",361-575-5439,"Licensed Center - Child Care Program","Full Permit",7/9/2015,181,"apluskidz@att.net","1168799","","Y","Y","Y","Y"
"1702437","","A+ Kidz Care Learning Center 3, LLC","7009 N NAVARRO ST ","VICTORIA","TX","77904","VICTORIA",361-220-7719,"Licensed Center - Child Care Program","Full Permit",7/8/2020,168,"apluskidz@att.net","1346875","","Y","Y","Y","Y"
"869393","","A+ Prep School","6509 INDEPENDENCE PKWY ","PLANO","TX","75023","COLLIN",972-618-1688,"Licensed Center - Child Care Program","Full Permit",2/9/2007,211,"aplusprepschool1688@gmail.com","310934","","Y","Y","Y","Y"
"1655408","","A-1 Montessori Academy","12805 WESTHEIMER RD ","HOUSTON","TX","77077","HARRIS",281-293-7323,"Licensed Center - Child Care Program","Full Permit",2/2/2018,33,"enroll.a1montessori@gmail.com","1280711","","Y","Y","Y","Y"
"984647","","A-2-Z Learning Center","160 DARSON MARIE DR ","SAN ANTONIO","TX","78226","BEXAR",210-438-8850,"Licensed Center - Child Care Program","Full Permit",1/5/2010,48,"","465028","","Y","Y","Y","Y"
"1629166","","A-2-Z Learning Center #3","5943 CULEBRA RD ","SAN ANTONIO","TX","78238","BEXAR",210-520-5882,"Licensed Center - Child Care Program","Full Permit",7/8/2016,90,"a2zlearning@live.com","1249112","","Y","Y","Y","Y"
"533187","","AAMA Sanchez High School","6001 GULF FWY ","HOUSTON","TX","77023","HARRIS",713-929-2441,"Licensed Center - Child Care Program","Full Permit",2/12/1999,91,"kguevara@aama.org","153069","","Y","Y","Y","N"
"1521514","","AAs Treehouse Learning Center","1408 N EDWARDS AVE ","MOUNT PLEASANT","TX","75455","TITUS",903-572-8009,"Licensed Center - Child Care Program","Full Permit",1/29/2014,114,"aatree11@gmail.com","1119425","","Y","Y","Y","Y"
"1717797","","AB Childcare","10930 AXIS XING ","SAN ANTONIO","TX","78245","BEXAR",210-400-7610,"Licensed Child-Care Home","Initial",2/3/2021,12,"ab.childcare@hotmail.com","1371449","","Y","Y","Y","Y"
"1677030","","AB's Academy","8136 LA FRONTERA TRL ","ARLINGTON","TX","76002","TARRANT",626-488-0191,"Licensed Child-Care Home","Full Permit",1/31/2019,11,"","1310478","","Y","Y","Y","Y"
"1672633","","Abacus Children's Academy","1226 FM 685 ","PFLUGERVILLE","TX","78660","TRAVIS",512-252-2704,"Licensed Center - Child Care Program","Full Permit",8/28/2018,65,"Vikas.Kansal@parfaire.us","1304264","","Y","Y","Y","Y"
"1579485","","Abacus School of Austin","1720 S BAGDAD RD ","LEANDER","TX","78641","WILLIAMSON",512-806-7788,"Licensed Center - Child Care Program","Full Permit",12/7/2015,259,"","1193222","","Y","Y","Y","Y"
"1109946","","Abacus School of Austin","14115 AVERY RANCH BLVD ","AUSTIN","TX","78717","WILLIAMSON",512-381-2200,"Licensed Center - Child Care Program","Full Permit",7/7/2010,308,"","615009","","Y","Y","Y","Y"
